,index,prediction,realValue,accuracy
395,[395],1371265.0,[1346511],[98.16]
396,[396],1577442.0,[1332819],[81.65]
397,[397],1558484.0,[1340149],[83.71]
398,[398],1095524.0,[1338411],[81.85]
399,[399],2769315.0,[1329061],[-8.37]
400,[400],1268399.0,[1330183],[95.36]
401,[401],867905.0,[1321751],[65.66]
402,[402],961639.0,[1308810],[73.47]
403,[403],1554903.0,[1327755],[82.89]
404,[404],1007283.0,[1315735],[76.56]
405,[405],2059594.0,[1344319],[46.79]
406,[406],1772484.0,[1310895],[64.79]
407,[407],1399653.0,[1307873],[92.98]
408,[408],2548571.0,[1311118],[5.62]
409,[409],1037932.0,[1307226],[79.4]
410,[410],1776693.0,[1306438],[64.]
411,[411],1939280.0,[1280734],[48.58]
412,[412],82906.0,[1278894],[6.48]
413,[413],1296025.0,[1262858],[97.37]
414,[414],1429363.0,[1277690],[88.13]
415,[415],1170836.0,[1230470],[95.15]
416,[416],961842.0,[1246185],[77.18]
417,[417],1050954.0,[1238064],[84.89]
418,[418],911143.0,[1214237],[75.04]
419,[419],1717055.0,[1231261],[60.54]
420,[420],1185733.0,[1208310],[98.13]
421,[421],1420999.0,[1243065],[85.69]
422,[422],1193532.0,[1221427],[97.72]
423,[423],1179253.0,[1211890],[97.31]
424,[424],682009.0,[1219637],[55.92]
425,[425],1240512.0,[1214839],[97.89]
426,[426],1130239.0,[1190008],[94.98]
427,[427],1134199.0,[1207732],[93.91]
428,[428],1495751.0,[1208081],[76.19]
429,[429],1635711.0,[1187684],[62.28]
430,[430],952572.0,[1209363],[78.77]
431,[431],980890.0,[1202384],[81.58]
432,[432],1219023.0,[1201944],[98.58]
433,[433],287810.0,[1204600],[23.89]
434,[434],975159.0,[1201457],[81.16]
435,[435],1049190.0,[1194239],[87.85]
436,[436],1521638.0,[1172586],[70.23]
437,[437],1396152.0,[1177438],[81.42]
438,[438],1434792.0,[1181332],[78.54]
439,[439],1565427.0,[1169839],[66.18]
440,[440],1577812.0,[1168782],[65.]
441,[441],1663965.0,[1175737],[58.47]
442,[442],1070997.0,[1166025],[91.85]
443,[443],1644298.0,[1163274],[58.65]
444,[444],1132329.0,[1166151],[97.1]
445,[445],1012736.0,[1160021],[87.3]
446,[446],1651781.0,[1169562],[58.77]
447,[447],1369201.0,[1157472],[81.71]
448,[448],1222993.0,[1153201],[93.95]
449,[449],1589250.0,[1149628],[61.76]
450,[450],1457278.0,[1125154],[70.48]
451,[451],1141033.0,[1134364],[99.41]
452,[452],1506581.0,[1141222],[67.99]
453,[453],1496968.0,[1122225],[66.61]
454,[454],1085565.0,[1129609],[96.1]
455,[455],871122.0,[1127329],[77.27]
456,[456],972351.0,[1106899],[87.84]
457,[457],1059034.0,[1128288],[93.86]
458,[458],1587180.0,[1112238],[57.3]
459,[459],1494488.0,[1118258],[66.36]
460,[460],1359381.0,[1085447],[74.76]
461,[461],1283028.0,[1111284],[84.55]
462,[462],1523340.0,[1110523],[62.83]
463,[463],1609778.0,[1110274],[55.01]
464,[464],1443327.0,[1101678],[68.99]
465,[465],1146216.0,[1081752],[94.04]
466,[466],1454167.0,[1068004],[63.84]
467,[467],1264330.0,[1077238],[82.63]
468,[468],1496108.0,[1081096],[61.61]
469,[469],1413294.0,[1075333],[68.57]
470,[470],641946.0,[1067707],[60.12]
471,[471],1246455.0,[1069864],[83.49]
472,[472],1136899.0,[1047062],[91.42]
473,[473],856233.0,[1063442],[80.52]
474,[474],1203800.0,[1059350],[86.36]
475,[475],1249730.0,[1044659],[80.37]
476,[476],1689713.0,[1032792],[36.39]
477,[477],1247444.0,[1043602],[80.47]
478,[478],1191723.0,[1046313],[86.1]
479,[479],1338172.0,[1048280],[72.35]
480,[480],1360645.0,[1027050],[67.52]
481,[481],962640.0,[1051257],[91.57]
482,[482],1120886.0,[1025302],[90.68]
483,[483],1721914.0,[1012310],[29.9]
484,[484],1202324.0,[1028384],[83.09]
485,[485],1525918.0,[1027782],[51.53]
486,[486],1013407.0,[1027436],[98.63]
487,[487],1275792.0,[1019309],[74.84]
488,[488],1266277.0,[1015832],[75.35]
489,[489],956937.0,[1007729],[94.96]
490,[490],1606903.0,[1025243],[43.27]
491,[491],1004228.0,[990223],[98.59]
492,[492],1466301.0,[1014595],[55.48]
493,[493],1339398.0,[1003406],[66.51]
494,[494],981748.0,[999030],[98.27]
495,[495],1134728.0,[991417],[85.54]
496,[496],821672.0,[990111],[82.99]
497,[497],642485.0,[972431],[66.07]
498,[498],828771.0,[989906],[83.72]
499,[499],830601.0,[986923],[84.16]
500,[500],963818.0,[988451],[97.51]
501,[501],802378.0,[980387],[81.84]
502,[502],983218.0,[979509],[99.62]
503,[503],486083.0,[986287],[49.28]
504,[504],871658.0,[975462],[89.36]
505,[505],1091246.0,[967654],[87.23]
506,[506],605471.0,[978785],[61.86]
507,[507],1035242.0,[974262],[93.74]
508,[508],495864.0,[970373],[51.1]
509,[509],1060036.0,[971482],[90.88]
510,[510],412430.0,[978413],[42.15]
511,[511],409049.0,[959578],[42.63]
512,[512],993648.0,[949896],[95.39]
513,[513],758191.0,[956154],[79.3]
514,[514],1644284.0,[956103],[28.02]
515,[515],546542.0,[953871],[57.3]
516,[516],934912.0,[937224],[99.75]
517,[517],1369370.0,[953305],[56.36]
518,[518],509472.0,[935168],[54.48]
519,[519],684056.0,[981294],[69.71]
520,[520],665143.0,[936945],[70.99]
521,[521],788444.0,[956198],[82.46]
522,[522],818223.0,[943806],[86.69]
523,[523],551516.0,[945172],[58.35]
524,[524],495739.0,[921111],[53.82]
525,[525],514214.0,[931953],[55.18]
526,[526],379364.0,[926107],[40.96]
527,[527],987017.0,[963763],[97.59]
