,index,prediction,realValue,accuracy
257,[257],3333738.0,[2165401],[46.05]
258,[258],2713814.0,[2130645],[72.63]
259,[259],2155401.0,[2135509],[99.07]
260,[260],2263917.0,[2142670],[94.34]
261,[261],2537736.0,[2138425],[81.33]
262,[262],2066545.0,[2141155],[96.52]
263,[263],2439875.0,[2108561],[84.29]
264,[264],1667014.0,[2069546],[80.55]
265,[265],1962872.0,[2095592],[93.67]
266,[266],2093706.0,[2084482],[99.56]
267,[267],2749074.0,[2084868],[68.14]
268,[268],2082150.0,[2067538],[99.29]
269,[269],1597277.0,[2080445],[76.78]
270,[270],1872182.0,[2078825],[90.06]
271,[271],2625865.0,[2169109],[78.94]
272,[272],1828990.0,[2058616],[88.85]
273,[273],2711643.0,[2057896],[68.23]
274,[274],2717509.0,[2051315],[67.52]
275,[275],2361590.0,[2051277],[84.87]
276,[276],2507984.0,[2026594],[76.25]
277,[277],1893867.0,[2007665],[94.33]
278,[278],2065740.0,[1970823],[95.18]
279,[279],1753085.0,[1972440],[88.88]
280,[280],2251266.0,[1980050],[86.3]
281,[281],2216022.0,[1974893],[87.79]
282,[282],1719526.0,[1933467],[88.93]
283,[283],1250051.0,[1906687],[65.56]
284,[284],2372514.0,[1934270],[77.34]
285,[285],1849125.0,[1928605],[95.88]
286,[286],1485368.0,[1925154],[77.16]
287,[287],1265436.0,[1901731],[66.54]
288,[288],2050359.0,[1892467],[91.66]
289,[289],2523004.0,[1898220],[67.09]
290,[290],2143246.0,[1891993],[86.72]
291,[291],1896314.0,[1887733],[99.55]
292,[292],1442007.0,[1846180],[78.11]
293,[293],1696662.0,[1843404],[92.04]
294,[294],1549122.0,[1865354],[83.05]
295,[295],1815499.0,[1867849],[97.2]
296,[296],2048072.0,[2006561],[97.93]
297,[297],1986915.0,[1872682],[93.9]
298,[298],2112610.0,[1855917],[86.17]
299,[299],2012993.0,[1855489],[91.51]
300,[300],1735281.0,[1854711],[93.56]
301,[301],2838157.0,[1817069],[43.81]
302,[302],1556460.0,[1831741],[84.97]
303,[303],1808085.0,[1820842],[99.3]
304,[304],1918754.0,[1778843],[92.13]
305,[305],1949898.0,[1784165],[90.71]
306,[306],1691744.0,[1790916],[94.46]
307,[307],1391419.0,[1799447],[77.32]
308,[308],2190915.0,[1786386],[77.35]
309,[309],1509080.0,[1747305],[86.37]
310,[310],1906633.0,[1766285],[92.05]
311,[311],1480668.0,[1764233],[83.93]
312,[312],2106380.0,[1762742],[80.51]
313,[313],1216955.0,[1762071],[69.06]
314,[314],1439006.0,[1744213],[82.5]
315,[315],2014293.0,[1744585],[84.54]
316,[316],1458039.0,[1755181],[83.07]
317,[317],1665765.0,[1730773],[96.24]
318,[318],1745662.0,[1726227],[98.87]
319,[319],1203629.0,[1721772],[69.91]
320,[320],1336700.0,[1721611],[77.64]
321,[321],1943039.0,[1717566],[86.87]
322,[322],1445576.0,[1716455],[84.22]
323,[323],2254844.0,[1716438],[68.63]
324,[324],1801729.0,[1711266],[94.71]
325,[325],2865739.0,[1715370],[32.94]
326,[326],1922951.0,[1706495],[87.32]
327,[327],1448334.0,[1694562],[85.47]
328,[328],1561001.0,[1670652],[93.44]
329,[329],1897281.0,[1689717],[87.72]
330,[330],1491145.0,[1665268],[89.54]
331,[331],1898541.0,[1676040],[86.72]
332,[332],2055729.0,[1675819],[77.33]
333,[333],1743587.0,[1661388],[95.05]
334,[334],1078228.0,[1648110],[65.42]
335,[335],1732675.0,[1646142],[94.74]
336,[336],1970943.0,[1649407],[80.51]
337,[337],2102065.0,[1635003],[71.43]
338,[338],941311.0,[1635088],[57.57]
339,[339],1262740.0,[1623518],[77.78]
340,[340],1131425.0,[1622015],[69.75]
341,[341],1776268.0,[1600856],[89.04]
342,[342],1987259.0,[1619651],[77.3]
343,[343],2058459.0,[1612554],[72.35]
344,[344],2059836.0,[1624601],[73.21]
345,[345],1904247.0,[1607555],[81.54]
346,[346],1054876.0,[1570681],[67.16]
347,[347],2017719.0,[1593694],[73.39]
348,[348],1435273.0,[1593116],[90.09]
349,[349],1329284.0,[1634734],[81.31]
350,[350],1226414.0,[1576492],[77.79]
351,[351],1701106.0,[1572064],[91.79]
352,[352],1636273.0,[1546132],[94.17]
353,[353],1339884.0,[1544486],[86.75]
354,[354],1527611.0,[1589048],[96.13]
355,[355],1779511.0,[1552055],[85.34]
356,[356],1631319.0,[1532632],[93.56]
357,[357],1290411.0,[1517096],[85.06]
358,[358],900719.0,[1518188],[59.33]
359,[359],1601363.0,[1515356],[94.32]
360,[360],1399824.0,[1515104],[92.39]
361,[361],1713853.0,[1511845],[86.64]
362,[362],1370260.0,[1507084],[90.92]
363,[363],1567907.0,[1504888],[95.81]
364,[364],2194015.0,[1500830],[53.81]
365,[365],1552703.0,[1479859],[95.08]
366,[366],1606540.0,[1459973],[89.96]
367,[367],1282524.0,[1468903],[87.31]
368,[368],1752102.0,[1472147],[80.98]
369,[369],1715258.0,[1492903],[85.11]
370,[370],2071651.0,[1475582],[59.6]
371,[371],1335436.0,[1462561],[91.31]
372,[372],794323.0,[1457406],[54.5]
373,[373],1237415.0,[1445248],[85.62]
374,[374],1855908.0,[1441990],[71.3]
375,[375],872190.0,[1439506],[60.59]
376,[376],1576177.0,[1438056],[90.4]
377,[377],1972325.0,[1430885],[62.16]
378,[378],1529944.0,[1422844],[92.47]
379,[379],1875305.0,[1383867],[64.49]
380,[380],950445.0,[1395498],[68.11]
381,[381],2182484.0,[1402816],[44.42]
382,[382],1582414.0,[1400397],[87.]
383,[383],1385712.0,[1397526],[99.15]
384,[384],1350127.0,[1371164],[98.47]
385,[385],1696898.0,[1387779],[77.73]
386,[386],2296529.0,[1387562],[34.49]
387,[387],1264219.0,[1382650],[91.43]
388,[388],1553618.0,[1385515],[87.87]
389,[389],1481970.0,[1373873],[92.13]
390,[390],2757854.0,[1373316],[-0.82]
391,[391],2354252.0,[1362634],[27.23]
392,[392],1490803.0,[1362114],[90.55]
393,[393],1495482.0,[1361273],[90.14]
394,[394],1553412.0,[1346754],[84.66]
395,[395],1508337.0,[1346511],[87.98]
396,[396],1430241.0,[1332819],[92.69]
397,[397],2299991.0,[1340149],[28.38]
398,[398],1035885.0,[1338411],[77.4]
399,[399],2920040.0,[1329061],[-19.71]
400,[400],1236454.0,[1330183],[92.95]
401,[401],993431.0,[1321751],[75.16]
402,[402],1062522.0,[1308810],[81.18]
403,[403],1442893.0,[1327755],[91.33]
404,[404],1216426.0,[1315735],[92.45]
405,[405],2173886.0,[1344319],[38.29]
