,director,director_score
624,연상호,30
625,엽위신,6
626,오기환,4
627,오렌 펠리,2
628,오리올 파울로,4
629,오멸,2
630,오성윤,8
631,오스카 요나손,4
632,오승욱,2
633,오오스기 요시히로,2
634,오우삼,16
635,오인천,4
636,오치아이 마사유키,4
637,오키우라 히로유키,2
638,옥사이드 팽 천,2
639,올 파커,2
640,올라턴드 오선샌미,2
641,올리버 스톤,2
642,올리버 히르비겔,2
643,올리비에 다한,2
644,올리비에 메가턴,24
645,올리비에르 나카체,6
646,와타나베 아유무,2
647,와타나베 카츠야,2
648,와타다 신야,2
649,왕가위,2
650,왕가위 ,2
651,요네바야시 히로마사,10
652,요르고스 란티모스,2
653,요아킴 뢰닝,10
654,우디 알렌,6
655,우디 앨런,6
656,우민호,38
657,우선호,4
658,우시로 신지,2
659,우테 폰 뮌쇼폴,2
660,원신연,28
661,원태연,4
662,월리 피스터,4
663,월트 벡커,2
664,웨스 볼,24
665,웨스 앤더슨,4
666,웨인 쏜리,2
667,윌 글럭,2
668,윌 핀,2
669,윌리엄 H. 머시,2
670,윌리엄 브렌트 벨,2
671,윌리엄 유뱅크,2
672,유선동,4
673,유성엽,2
674,유야마 쿠니히코,26
675,유위강,4
676,유하,24
677,육상효,6
678,윤영기,2
679,윤인호,6
680,윤재구,8
681,윤재근,6
682,윤재연,2
683,윤제균,48
684,윤종빈,28
685,윤종석,4
686,윤종찬,6
687,윤준형,6
688,윤태윤,8
689,윤학렬,2
690,이경미,6
691,이경호,4
692,이계벽,16
693,이광재,2
694,이규만,6
695,이근우,2
696,이기욱,2
697,이나정,2
698,이달,2
699,이덕희,4
700,이도윤,2
701,이동희,2
702,이두환,2
703,이반 라이트만,2
704,이병헌,16
705,이사랑,2
706,이상기,6
707,이상용,2
708,이상호,4
709,이석훈,50
710,이성태,2
711,이성한,4
712,이수연,6
713,이수진,2
714,이승무,2
715,이승준,10
716,이시이 야스하루,2
717,이시즈카 아츠코,2
718,이안,12
719,이안 소프틀리,4
720,이안규,2
721,이언희,6
722,이연우,16
723,이영준,6
724,이용승,2
725,이용주,14
726,이우철,4
727,이원석,8
728,이원태,2
729,이윤기,8
730,이윤정,2
731,이은희,2
732,이인항,10
733,이일형,22
734,이장수,2
735,이장훈,8
736,이재규,10
737,이재용,12
738,이재한,28
739,이정범,20
740,이정철,4
741,이정향,2
742,이정호,10
743,이종용,4
744,이종필,6
745,이주영,2
746,이준익,56
747,이창동,2
748,이창재,8
749,이창희,6
750,이철하,8
