,actor,final_audience_y
624,레일라 분야삭,2.0
625,로건 레먼,28.0
626,로건 마샬-그린,2.0
627,로나 미트라,2.0
628,로드리고 산토로,16.0
629,로라 던,2.0
630,로라 린니,6.0
631,로라 밴더부트,2.0
632,로라 하드독,8.0
633,로렌 코핸,2.0
634,로렌스 피쉬번,18.0
635,로렐라이 링클레이터,2.0
636,로리 멧칼프,2.0
637,로리 코크레인,2.0
638,로리 홀든,4.0
639,로몰라 가레이,2.0
640,로버트 구스타프슨,2.0
641,로버트 네퍼,4.0
642,로버트 다우니 주니어,174.00000000000003
643,로버트 듀발,4.0
644,로버트 드니로,24.0
645,로버트 레드포드,12.0
646,로버트 패틴슨,36.0
647,로버트 포스터,2.0
648,로버트 호프만,6.0
649,로베르토 베니니,2.0
650,로빈 라이트,12.0
651,로빈 윌리엄스,18.0
652,로셀린 산체즈,2.0
653,로쉬디 젬,2.0
654,로앤 에머라,2.0
655,로자리오 도슨,10.0
656,로자먼드 파이크,16.0
657,로저 프린셉,2.0
658,로즈 레슬리,2.0
659,로즈 번,30.0
660,로즈마리 드윗,10.0
661,로지 헌팅턴-휘틀리,28.0
662,론 샤바놀,2.0
663,론 펄먼,12.0
664,롤프 라스가드,2.0
665,롭 리글,6.0
666,롭 슈나이더,2.0
667,루나,2.0
668,루니 마라,12.0
669,루디 린,2.0
670,루머 윌리스,2.0
671,루브나 아자발,2.0
672,루비 로즈,4.0
673,루시 리우,22.0
674,루시 보인턴,4.0
675,루이스 C.K.,2.0
676,루이스 구즈만,8.0
677,루이스 맥더겔,2.0
678,루크 그림즈,2.0
679,루크 브레이시,4.0
680,루크 에반스,30.0
681,루크 윌슨,2.0
682,루크 커비,2.0
683,루퍼스 스웰,2.0
684,루퍼트 그린트,30.0
685,루퍼트 에반스,2.0
686,루퍼트 프렌드,2.0
687,루피타 뇽오,22.0
688,루한,4.0
689,류담,4.0
690,류덕환,16.0
691,류성훈,6.0
692,류세이 료,2.0
693,류승룡,159.99999999999997
694,류승범,64.0
695,류승수,8.0
696,류점희,2.0
697,류정수,6.0
698,류준열,52.00000000000001
699,류태호,6.0
700,류현경,40.0
701,류혜영,14.0
702,르네 루소,10.0
703,르네 젤위거,16.0
704,리 워넬,2.0
705,리나 레안데르손,2.0
706,리바이 밀러,2.0
707,리브 슈라이버,8.0
708,리브 타일러,6.0
709,리빙빙,20.0
710,리사 쿠드로,8.0
711,리암 니슨,102.0
712,리암 헴스워스,26.0
713,리온 포드,2.0
714,리즈 미슬러,2.0
715,리즈 아메드,6.0
716,리즈 위더스푼,18.0
717,리지 캐플란,18.0
718,리차드 E. 그랜트,8.0
719,리차드 기어,4.0
720,리차드 드레이퍼스,2.0
721,리차드 록스버그,2.0
722,리차드 아미티지,32.0
