,movieCd,starScore,userCount
504,20124348,6.44,9258
505,20072151,8.05,3408
506,20138202,8.78,1655
507,20159648,7.23,4669
508,20148842,7.2,2804
509,20125086,7.69,7497
510,20121549,7.99,5028
511,20170443,6.66,6805
512,20090305,7.95,4081
513,20123641,7.69,2599
514,20131262,7.49,5588
515,20126448,8.78,2962
516,20081809,7.6,2280
517,20164844,6.1,11367
518,20090012,7.73,2355
519,20101348,8.98,3188
520,20072148,7.02,3710
521,20134046,8.67,6459
522,20135362,9.25,2121
523,20163215,8.5,5960
524,20090160,6.91,3164
525,20123681,8.57,642
526,20141113,6.87,4000
527,20122089,8.84,1100
528,20163294,7.94,5150
529,20159162,7.37,4324
530,20129388,9.3,2766
531,20101212,5.99,1934
532,20080663,9.02,4304
533,20134206,8.81,408
534,20177946,8.31,2641
535,20113887,5.8,4151
536,20124717,6.84,2560
537,20179696,6.98,5698
538,20129156,8.25,1138
539,20090408,8.78,1278
540,20102421,8.77,2720
541,20090425,9.03,6452
542,20124096,8.21,2796
543,20101133,6.26,18176
544,20100326,4.72,8309
545,20124402,6.46,3672
546,20135001,8.73,1332
547,20136761,7.81,407
548,20110312,6.19,3482
549,20178581,8.03,4596
550,20163661,7.64,3401
551,20080226,4.18,3021
552,20148461,6.73,4124
553,20140402,7.54,5232
554,20090579,8.96,10558
555,20150977,8.21,3667
556,19820019,7.29,5140
557,20169348,7.31,6219
558,20124629,7.5,3290
559,20080870,6.65,2228
560,20119619,7.74,1762
561,20148844,6.5,6087
562,20150741,6.84,2891
563,20174846,9.17,3814
564,20125990,7.8,4994
565,20171090,8.03,4595
566,20168885,8.89,3751
567,20112542,7.3,1611
568,20144683,8.15,2415
569,20090826,7.77,4640
570,20090554,7.45,2133
571,20151481,7.63,3450
572,20119637,8.28,1895
573,20080476,7.54,4420
574,20133701,8.16,525
575,20136802,8.62,5203
576,20100295,8.93,4285
577,20110233,6.82,3669
578,20147176,7.82,4725
579,20123333,7.26,2835
580,20130561,7.63,1713
581,20147727,8.35,5886
582,20110301,7.08,4453
583,20124080,7.42,3656
584,20113920,5.68,702
585,20168688,8.38,4838
586,20163194,6.98,4972
587,20138962,8.29,2342
588,20072686,6.7,2510
589,20163521,8.99,4402
590,20081744,9.03,2898
591,20149846,8.59,4476
592,20090895,4.67,2874
593,20090664,8.27,3004
594,20090237,8.65,6346
595,20151884,7.36,2422
596,20134801,6.26,3704
597,20080890,7.82,3968
598,20080394,6.95,4172
599,20090157,6.7,2987
600,20090085,8.37,5181
601,20156841,8.36,2390
602,20110251,6.99,3928
603,20147874,6.66,4540
604,20100380,8.6,1744
605,20080641,8.44,1324
606,20080009,7.31,3980
607,20150968,8.67,5041
608,20080230,8.16,1181
609,20100256,9.06,5546
610,20130522,7.95,5073
611,20080946,6.17,1399
612,20110303,7.8,2586
613,20156007,7.79,2846
614,20090176,8.48,1854
615,20100382,9.13,3594
616,20080038,8.56,1526
617,20158241,7.61,3571
618,20156207,8.3,2415
619,20161744,8.71,1938
620,20090195,8.02,861
621,20110296,5.07,1873
622,20161084,7.92,5068
623,20090718,8.26,1566
624,20090412,9.02,4058
625,20112651,7.31,1249
626,20090169,6.05,3367
627,20156748,7.35,3472
628,20119420,7.35,3221
629,20131246,7.15,4540
630,20068576,6.54,2958
631,20090327,4.58,1893
632,20081244,9,4955
633,20090953,7.6,1546
634,20151227,8.06,3175
635,20154906,6.15,7769
636,20081535,6.55,3482
637,20110657,8.95,1281
638,20110911,9.07,3365
639,20090528,7.02,1681
640,20112311,8.3,2265
641,20080393,8.17,497
642,20113745,7.43,3982
643,20145396,7.61,4176
644,20138224,8.14,3727
645,20090042,7.25,2391
646,20179281,8.16,6063
647,20144442,6.6,5042
648,20080833,6.82,3310
649,20100378,9.23,3498
650,20168891,9.14,3235
651,20090861,8.89,1480
652,20121861,8.14,2086
653,20112972,8.74,596
654,20143344,7.65,2274
655,20112704,7.42,4472
656,20090815,7.78,2616
657,20145504,7.01,4131
658,20166363,7.22,2133
659,20070551,6.24,4714
660,20113532,5.13,1938
661,20140193,6.37,4323
662,20090948,7.67,1741
663,20124127,7.19,4512
664,20090043,6.72,6316
665,20101113,8.02,2596
666,20124934,7.83,4333
667,20134984,9.01,1237
668,20100129,7.61,3532
669,20132482,5.97,3944
670,20111671,7.44,1304
671,20134533,7.58,945
672,20100975,8.61,2867
673,20134591,6.09,4514
674,20124420,7.28,1439
675,20147129,5.28,5644
676,20070660,6.84,3195
677,20177181,7.24,3243
678,20136812,8.06,4174
679,20081444,7.41,1603
680,20100813,5.88,1500
