순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
2504,자객 섭은낭,허우 샤오시엔,,(주)영화사 진진,(주)영화사 진진,2016-02-04,개봉영화,장편,대만,52,108695700,13938,사극,12세이상관람가,다양성영화
2505,네이든,모건 매튜스,,(주)블룸즈베리리소시스리미티드,(주)블룸즈베리리소시스리미티드,2015-06-25,개봉영화,장편,영국,49,105900400,13912,드라마,12세이상관람가,다양성영화
2506,보트,김영남,(주)크라제픽쳐스,,(주)스폰지이엔티,2009-05-28,개봉영화,장편,한국,51,94173691,13904,드라마,15세이상관람가,다양성영화
2507,프로즌 그라운드,스콧 워커,"그린스톤픽처스,에멋 플라 필름",(주)소나무픽쳐스,(주)박수엔터테인먼트,2014-02-06,개봉영화,장편,미국,88,103660500,13853,스릴러,청소년관람불가,상업영화
2508,위로공단,임흥순,반달,,(주)엣나인필름,2015-08-13,개봉영화,장편,한국,34,103598000,13827,다큐멘터리,15세이상관람가,다양성영화
2509,테이킹 우드스탁,이안,포커스피쳐스,데이지엔터테인먼트,(주)영화사구안,2010-07-29,개봉영화,장편,미국,14,104188298,13809,코미디,청소년관람불가,다양성영화
2510,호비와 엄마나무섬의 비밀,히라바야시 이사무,,(주)머스트씨무비릴리징컴퍼니,(주)머스트씨무비릴리징컴퍼니,2015-07-02,개봉영화,장편,일본,74,94353500,13802,애니메이션,전체관람가,다양성영화
2511,미어캣의 모험,제임스 허니본,,예지림엔터테인먼트,예지림엔터테인먼트,2009-08-06,개봉영화,장편,영국,62,97192628,13797,다큐멘터리,전체관람가,상업영화
2512,미스터 터너,마이크 리,,(주)영화사 진진,(주)영화사 진진,2015-01-22,개봉영화,장편,영국,29,105909883,13792,드라마,청소년관람불가,다양성영화
2513,산이 울다,래리 양,,"(주)영화공간,(주)가보차",(주)팝엔터테인먼트,2016-05-25,개봉영화,장편,중국,107,104827700,13791,드라마,15세이상관람가,다양성영화
2514,헤이츠,마크 톤데라이,,(주)더블앤조이픽쳐스,(주)나이너스엔터테인먼트,2012-12-06,개봉영화,장편,미국,75,94348000,13747,스릴러,15세이상관람가,상업영화
2515,토니 에드만,마렌 아데,,그린나래미디어(주),그린나래미디어(주),2017-03-16,개봉영화,장편,독일,64,109972800,13677,드라마,청소년관람불가,다양성영화
2516,오직 사랑뿐,엠마 아산테,,찬란,(주)팝엔터테인먼트,2018-02-08,개봉영화,장편,영국,105,106539718,13580,드라마,12세이상관람가,다양성영화
2517,클라라,헬마 잔더스-브람스,헬마샌더스브람스 필름,오드,(주)영화사 진진,2010-12-16,개봉영화,장편,독일,4,99611500,13557,드라마,15세이상관람가,다양성영화
2518,헤어드레서,도리스 되리에,,(주)포커스엔터테인먼트,(주)영화사 진진,2011-07-14,개봉영화,장편,독일,13,106421000,13533,드라마,15세이상관람가,다양성영화
2519,해피 홀리데이,"앤디 해밀턴,가이 젠킨",,(주)유로커뮤니케이션,(주)스톰픽쳐스코리아,2015-05-14,개봉영화,장편,영국,102,102633800,13529,코미디,12세이상관람가,다양성영화
2520,피치 퍼펙트,제이슨 무어,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-03-28,개봉영화,장편,미국,143,90720000,13520,코미디,15세이상관람가,상업영화
2521,요시노 이발관,오기가미 나오코,,씨네가,(주)스폰지이엔티,2009-06-25,개봉영화,장편,일본,7,91911423,13512,코미디,전체관람가,다양성영화
2522,피막,반종 피산다나쿤,,(주)타임픽쳐스,와이드 릴리즈(주),2014-09-25,개봉영화,장편,태국,170,101978400,13484,코미디,12세이상관람가,다양성영화
2523,용서,김종철,"㈜스토리셋,(주)더피셔엔터테인먼트",,씨너스엔터테인먼트(주),2010-12-05,개봉영화,장편,한국,4,95444204,13478,다큐멘터리,12세이상관람가,다양성영화
2524,와와의 학교 가는 날,펑천,,(주)마노엔터테인먼트,(주)마노엔터테인먼트,2016-10-27,개봉영화,장편,중국,48,70906800,13477,드라마,전체관람가,다양성영화
2525,원피스 3D : 밀짚모자 체이스,사토 히로유키,,얼리버드,(주)미디어데이,2012-01-26,개봉영화,단편,일본,111,91648500,13475,애니메이션,전체관람가,상업영화
2526,터미네이터 2 : 심판의 날 감독판,제임스 카메론,,(유)조이앤컨텐츠그룹,(주)팝엔터테인먼트,2013-11-14,개봉영화,장편,미국,47,96779000,13426,액션,15세이상관람가,상업영화
2527,데어 윌 비 블러드,폴 토마스 앤더슨,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2008-03-06,개봉영화,장편,미국,6,92687000,13416,스릴러,15세이상관람가,상업영화
2528,베스트 오브 미,마이클 호프만,,(주)미디어로그,메가박스(주)플러스엠,2015-06-18,개봉영화,장편,미국,118,100915600,13399,드라마,15세이상관람가,상업영화
2529,다우트,존 패트릭 셰인리,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-02-12,개봉영화,장편,미국,11,93789787,13377,드라마,15세이상관람가,다양성영화
2530,"알로, 슈티",대니 분,,(주)콘텐츠판다,"(주)프레인글로벌,(주)콘텐츠판다",2015-07-02,개봉영화,장편,프랑스,33,107360900,13373,코미디,12세이상관람가,다양성영화
2531,밀크,구스 반 산트,포커스피쳐스,(주)스폰지이엔티,(주)씨타마운틴픽쳐스,2010-02-25,개봉영화,장편,미국,31,97068007,13372,드라마,15세이상관람가,다양성영화
2532,황금시대,허안화,,판씨네마(주),판씨네마(주),2014-10-16,개봉영화,장편,중국,58,98582100,13371,드라마,12세이상관람가,다양성영화
2533,귀 鬼,"김조광수,여명준,조은경,홍동명",청년필름(주),,씨제이엔터테인먼트,2010-06-10,개봉영화,옴니버스,한국,30,96385308,13319,공포(호러),15세이상관람가,상업영화
2534,토마스와 친구들: 그레이트 레이스,데이비드 스토튼,,KBS 미디어,와이드 릴리즈(주),2017-11-30,개봉영화,장편,영국,249,98705400,13314,애니메이션,전체관람가,상업영화
2535,나이트폴,주현량,,(주)고맙습니다 사랑합니다,(주)나이너스엔터테인먼트,2012-09-27,개봉영화,장편,홍콩,108,99076000,13307,액션,청소년관람불가,상업영화
2536,더 도어,안노 사울,유스트 필름프로덕션,(주)컴퍼니엘,예지림엔터테인먼트,2010-09-02,개봉영화,장편,독일,26,103443099,13283,드라마,청소년관람불가,상업영화
2537,어느 예술가의 마지막 일주일,"마르잔 사트라피,뱅상 파로노",,(주)키노아이디엠씨,프리비젼엔터테인먼트,2013-06-20,개봉영화,장편,프랑스,18,93001000,13267,드라마,15세이상관람가,다양성영화
2538,봄,조근현,(주)스튜디오후크,,필라멘트픽쳐스,2014-11-20,개봉영화,장편,한국,112,98566100,13234,드라마,청소년관람불가,다양성영화
2539,하이 스쿨 뮤지컬: 졸업반,케니 오테가,월트 디즈니 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-02-19,개봉영화,장편,미국,9,82871663,13217,코미디,전체관람가,상업영화
