,movieCd,director_score,openDt_score,prdtYear_score,repNationNm_score,repGenreNm_score,showTm_score,watchGradeNm_score,distributor_score,actor_score,starScore,userCount,previous_screen,screen_D1,screen_D2,screen_D3,screen_D4,screen_D5,screen_D6,screen_D7,previous_show,show_D1,show_D2,show_D3,show_D4,show_D5,show_D6,show_D7,previous_audience,audience_D1,audience_D2,audience_D3,audience_D4,audience_D5,audience_D6,audience_D7,final_audience
1550,20145085,0.768822179,5.930849503,14.26704247,4.624017756,3.565127854,2.718236283,7.908927147,1.887070148,1.141849491,7.417677849,0.066319451,0.72413894,1.054781633,1.07957418,1.077448852,1.018030651,0.951809103,1.01423547,1.044351219,0.290916575,0.635098691,0.660865327,0.556336673,0.508066657,0.511337094,0.525222048,0.561404581,0.358918252,0.077120535,0.108952327,0.156078997,0.100605828,0.035536997,0.061367595,0.079166271,86415
1551,20156063,0.768822179,5.930849503,14.26704247,3.082678504,3.310475864,2.718236283,7.030157464,1.887070148,1.046695367,7.903359136,0.136473217,0.387477854,1.186160129,1.18606279,1.164904116,1.065068371,1.031126529,1.079905392,1.134187883,0.15684198,0.688388581,0.690063041,0.53955933,0.472694928,0.47462229,0.507597148,0.532783955,0.351838359,0.076861672,0.097637961,0.118386693,0.075806336,0.03828976,0.06569588,0.07758136,87673
1552,20145242,0.768822179,6.425086962,14.26704247,4.624017756,5.34769178,2.718236283,7.030157464,1.887070148,1.617620113,4.874474015,0.076544291,0.082577248,1.088564675,0.965741529,0.930524008,0.853398632,0.882837429,0.981400508,0.976973721,0.032886222,0.519758929,0.41232869,0.343599972,0.30098126,0.309071899,0.375762888,0.375737445,0.083880565,0.173189858,0.146562839,0.104266961,0.06914081,0.057727487,0.04739411,0.046213344,78070
1553,20145521,0.768822179,7.413561879,14.26704247,4.624017756,4.838387801,2.718236283,5.71200294,2.641898208,1.030836346,6.70240177,0.231195002,0.012704192,0.739473245,0.749092288,0.703140322,0.685406775,0.682819574,0.744259122,0.774841227,0.005059419,0.402959169,0.387403812,0.359035127,0.300338138,0.294385977,0.358137987,0.369132685,0.012255044,0.089690933,0.097024867,0.081146792,0.095460292,0.087392899,0.074063092,0.080883257,78521
1554,20141060,0.768822179,9.884749172,14.26704247,5.857089158,3.565127854,2.718236283,5.71200294,1.887070148,1.157708512,5.969464554,0.191715757,0.101633535,1.114840374,1.07957418,1.031972115,0.974352768,0.989743524,1.006938812,1.003176082,0.04047535,0.689848578,0.622409802,0.560363235,0.396163368,0.382501508,0.470232357,0.470405668,0.116548703,0.128168365,0.116008478,0.090202787,0.081705637,0.085313685,0.080019004,0.076841736,77621
1555,20080878,0.768822179,9.884749172,11.41363398,3.082678504,3.310475864,2.090950987,5.71200294,2.641898208,1.062554388,6.31385674,0.381159328,0.006352096,0.330323074,0.319465829,0.339326424,0.319184528,0.300026783,0.313756296,0.321914713,0.007589128,0.470119031,0.477133372,0.369101532,0.334423622,0.367148044,0.39691277,0.362527925,0.000287508,0.094122672,0.11341119,0.115910383,0.088433457,0.057383392,0.091532963,0.075085127,77533
1556,20142023,0.768822179,6.425086962,14.26704247,4.624017756,3.565127854,2.718236283,7.030157464,3.208019252,1.030836346,6.525790393,0.047999945,0.158802399,1.242465198,1.208094916,1.094939905,1.044909348,1.058715198,1.174761947,1.171619827,0.063242734,0.743138468,0.729942845,0.546270267,0.487486742,0.578091284,0.592901668,0.622315143,0.140519712,0.13652447,0.127289402,0.09931434,0.068249997,0.047756043,0.084467853,0.096917266,78978
1557,20149591,0.768822179,7.413561879,14.26704247,4.624017756,3.565127854,2.718236283,7.908927147,1.887070148,1.601761092,6.808368597,0.136473217,0.412886238,0.66815349,0.712372078,0.675154638,0.604770684,0.596604981,0.63845758,0.64757262,0.169490526,0.414639145,0.408767993,0.345613253,0.263037041,0.252998379,0.277768439,0.287673981,0.20826387,0.075764091,0.085855414,0.059788614,0.05893695,0.060809703,0.048732381,0.053451101,77307
1558,20100925,0.768822179,6.91932442,13.31590631,3.082678504,3.565127854,4.809187271,5.272618098,1.887070148,1.046695367,7.435338986,0.066035428,0.050816768,0.082580768,0.077112441,0.090953475,0.073916417,0.075868842,0.083911568,0.08609347,0.035415931,0.100739792,0.101835929,0.102677335,0.090680251,0.09145324,0.099404441,0.088797326,0.0429825,0.027491275,0.035013225,0.072868613,0.046228845,0.017563506,0.033396511,0.029717069,75847
1559,20080992,0.768822179,9.884749172,14.26704247,4.624017756,3.310475864,2.718236283,7.030157464,1.887070148,1.030836346,3.788314044,0.067313533,0,0.487977268,0.488378796,0.444272741,0.43341899,0.448315882,0.452392799,0.269509992,0,0.434349105,0.417313666,0.363732782,0.329921766,0.360472625,0.320773197,0.109345467,0,0.094609335,0.114447876,0.133744581,0.09780257,0.058606028,0.072941837,0.017420806,76985
