,movieCd,movieNm,director1,director2,prdtYear,openDt,typeNm,repNationNm,repGenreNm,companyCd
661,20070551,황금 나침반,크리스 웨이츠, ,2007,20071218,장편,미국,판타지,20104412
662,20113532,미쓰GO,박철관, ,2012,20120621,장편,한국,액션,20100414
663,20140193,서부전선,천성일, ,2015,20150924,장편,한국,전쟁,20100834
664,20090948,그린 존,폴 그린그래스, ,2009,20100325,장편,미국,드라마,20101382
665,20124127,헝거게임: 판엠의 불꽃,게리 로스, ,2012,20120405,장편,미국,액션,20104247
666,20090043,왓치맨,잭 스나이더, ,2009,20090305,장편,미국,액션,20104469
667,20101113,이층의 악당,손재곤, ,2010,20101124,장편,한국,코미디,20114883
668,20124934,피에타,김기덕, ,2012,20120906,장편,한국,드라마,20100078
669,20134984,다이노소어 어드벤처 3D,베리 쿡,닐 나이팅게일,2013,20131219,장편,미국,액션, 
670,20100129,반가운 살인자,김동욱 , ,2010,20100408,장편,한국,코미디,20100402
671,20132482,우는 남자,이정범, ,2014,20140604,장편,한국,액션,20139535
672,20111671,콜롬비아나,올리비에 메가턴, ,2011,20110831,장편,미국,액션, 
673,20134533,타잔 3D,라인하드 클루스, ,2013,20140109,장편,독일,애니메이션, 
674,20100975,레터스 투 줄리엣,게리 위닉, ,2010,20101006,장편,미국,멜로/로맨스,20101294
675,20134591,황제를 위하여,박상준, ,2014,20140611,장편,한국,액션,20100410
676,20124420,맨 온 렛지,애스게르 레스, ,2012,20120222,장편,미국,범죄, 
677,20147129,패션왕,오기환, ,2014,20141106,장편,한국,코미디,20142728
678,20070660,뜨거운 것이 좋아,권칠인, ,2007,20080117,장편,한국,드라마,20100303
679,20177181,47 미터,조하네스 로버츠, ,2017,20170719,장편,영국,스릴러, 
680,20136812,더 울프 오브 월스트리트,마틴 스콜세지, ,2013,20140109,장편,미국,범죄, 
681,20081444,바디 오브 라이즈,리들리 스콧, ,2008,20081023,장편,미국,스릴러, 
682,20100813,퀴즈왕,장진, ,2010,20100916,장편,한국,코미디,20100939
683,20100381,마법사의 제자,존 터틀타웁, ,2010,20100721,장편,미국,드라마, 
684,20125866,다크 섀도우,팀 버튼, ,2012,20120510,장편,미국,드라마, 
685,20080741,고고 70,최호, ,2008,20081003,장편,한국,드라마,20100651
686,20155563,어린왕자,마크 오스본, ,2015,20151223,장편,프랑스,애니메이션, 
687,20135657,인시디어스: 두번째 집,제임스 완, ,2013,20131205,장편,미국,공포(호러), 
688,20125426,백설공주,타셈 싱, ,2012,20120503,장편,미국,판타지, 
689,20156402,채피,닐 블롬캠프, ,2015,20150312,장편,미국,액션, 
690,20129588,섀도우 헌터스: 뼈의 도시,해럴드 즈워트, ,2013,20130912,장편,미국,판타지, 
691,20128270,루퍼,라이언 존슨, ,2012,20121011,장편,미국,SF, 
692,20113311,앨빈과 슈퍼밴드3,마이크 미첼, ,2011,20111215,장편,미국,애니메이션, 
693,20137815,화이트 하우스 다운,롤랜드 에머리히, ,2013,20130627,장편,미국,액션, 
694,20070672,클로버필드,맷 리브스, ,2008,20080124,장편,미국,SF, 
695,20113643,파파,한지승, ,2011,20120201,장편,한국,가족,20040050
696,20149930,스텝 업: 올 인,트리시 시에, ,2014,20140903,장편,미국,드라마, 
697,20163018,싱 스트리트,존 카니, ,2016,20160519,장편,아일랜드,드라마, 
698,20071067,슈퍼맨이었던 사나이,정윤철, ,2007,20080131,장편,한국,드라마,20100109
699,20127401,레지던트 이블 5 : 최후의 심판,폴 W.S. 앤더슨, ,2011,20120913,장편,미국,액션, 
700,20090019,잉크하트 : 어둠의 부활,이안 소프틀리, ,2008,20090129,장편,미국,어드벤처,20104412
701,20178126,인시디어스4: 라스트 키,애덤 로비텔, ,2017,20180131,장편,미국,공포(호러), 
702,20161286,아이스 에이지: 지구 대충돌,마이크 트메이어, ,2016,20160720,장편,미국,애니메이션, 
703,20081565,뱅크 잡,로저 도널드슨, ,2008,20081030,장편,영국,범죄, 
704,20167261,메카닉: 리크루트,데니스 간젤, ,2016,20160831,장편,미국,액션, 
705,20150501,극장판 요괴워치: 탄생의 비밀이다냥!,타카하시 시게하루,우시로 신지,2014,20150722,장편,일본,애니메이션, 
706,20070549,내셔널 트레져:비밀의 책,존 터틀타웁, ,2007,20071219,장편,미국,액션,20101705
707,20111928,너는 펫,김병곤 , ,2011,20111110,장편,한국,멜로/로맨스,20030102
708,20080399,트럭,권형진, ,2007,20080925,장편,한국,범죄,20100123
709,20180564,툼레이더,로아 우타우, ,2018,20180308,장편,미국,액션, 
710,20137426,애프터 어스,M. 나이트 샤말란, ,2012,20130530,장편,미국,SF, 
711,20090510,이태원 살인사건,홍기선, ,2009,20090910,장편,한국,범죄,20103024
712,20174585,메리와 마녀의 꽃,요네바야시 히로마사, ,2017,20171207,장편,일본,애니메이션, 
713,20177104,페르디난드,카를로스 살다나, ,2017,20180103,장편,미국,애니메이션, 
714,20081391,미쓰 홍당무,이경미, ,2008,20081016,장편,한국,드라마,20100357
715,20134407,사이코메트리,권호영, ,2012,20130307,장편,한국,미스터리,20111289
716,20112082,챔프,이환경, ,2011,20110907,장편,한국,드라마,20100934
717,20154908,7년의 밤,추창민, ,2018,20180328,장편,한국,스릴러,20110854
718,20110031,러브 & 드럭스,에드워드 즈윅, ,2010,20110113,장편,미국,멜로/로맨스, 
