,movieCd,showTm,actor1,actor2,actor3,actor4,actor5,actor6,watchGradeNm,producedCompany,distributor
90,20080653,92,더스틴 호프만,루시 리우,잭 블랙,안젤리나 졸리,성룡,김기현,전체관람가, ,씨제이엔터테인먼트
91,20162365,132,에디 레드메인,콜린 파렐,캐서린 워터스턴,앨리슨 수돌,댄 포글러,사만다 모튼,12세이상관람가, ,워너브러더스 코리아(주)
92,20112534,125,정유미,공유,허재호,송은정,임현성,최진호,청소년관람불가,(주)삼거리픽쳐스,씨제이이앤엠(주)
93,20113554,121,임수정,이선균,류승룡,이달형,이진희,김도균,15세이상관람가,(주)수필름,(주)넥스트엔터테인먼트월드(NEW)
94,20144641,136,김남길,김영애,문정희,정진영,이경영,강신일,12세이상관람가,(주)씨에이씨엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW)
95,20090238,115,크리스찬 베일,샘 워싱턴,문 블러드굿,안톤 옐친, , ,15세이상관람가,더 할사이온 컴퍼니,롯데쇼핑㈜롯데엔터테인먼트
96,20081169,108,아만다 사이프리드,메릴 스트립,콜린 퍼스, , , ,12세이상관람가, ,유니버설픽쳐스인터내셔널 코리아(유)
97,20124062,109,김명민,강지원,문정희,김동완,이하늬,강신일,15세이상관람가,(주)오죤필름,씨제이이앤엠(주)
98,20090933,125,로버트 다우니 주니어,기네스 팰트로우,돈 치들,스칼렛 요한슨,미키 루크, ,12세이상관람가,파라마운트 픽쳐스,씨제이엔터테인먼트
99,20170402,139,정우성,곽도원,김갑수,김의성,이경영,조우진,15세이상관람가,(주)와이웍스엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW)
100,20111009,131,다니엘 래드클리프,엠마 왓슨,루퍼트 그린트, , , ,전체관람가, ,워너브러더스 코리아(주)
101,20080396,125,로버트 다우니 주니어,테렌스 하워드,제프 브리지스,기네스 팰트로우, , ,12세이상관람가, ,씨제이엔터테인먼트
102,20147669,134,휴 잭맨,제임스 맥어보이,마이클 패스벤더,제니퍼 로렌스,할리 베리,엘렌 페이지,12세이상관람가, ,이십세기폭스코리아(주)
103,20080736,127,설경구,정재영,강신일,유해진,탁트인,이상현,15세이상관람가,(주)시네마서비스글로벌,씨제이엔터테인먼트
104,20144444,144,김민희,김태리,하정우,조진웅,김해숙,문소리,청소년관람불가,유한회사 아가씨에프에스,씨제이이앤엠(주)
105,20135661,142,앤드류 가필드,엠마 스톤,제이미 폭스,데인 드한, , ,12세이상관람가, ,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
106,20070675,121,해리슨 포드,샤이아 라보프, , , , ,12세이상관람가, ,씨제이엔터테인먼트
107,20124938,138,공유,박희순,조성하,유다인,김성균,조재윤,15세이상관람가,(주)그린피쉬,(주)쇼박스
108,20124074,118,엄태웅,한가인,이제훈,배수지,고준희,조정석,12세이상관람가,(주)명필름,롯데쇼핑㈜롯데엔터테인먼트
109,20080996,111,브렌든 프레이저,마리아 벨로,이연걸, , , ,12세이상관람가, ,유니버설픽쳐스인터내셔널 코리아(유)
110,20081737,112,김하늘,강지환,유승목,강규영,김민국,강신일,12세이상관람가,(주)하리마오픽쳐스,롯데쇼핑㈜롯데엔터테인먼트
111,20081056,152,크리스찬 베일,마이클 케인,히스 레저,아론 에크하트,매기 질렌할,게리 올드만,15세이상관람가, ,주식회사 해리슨앤컴퍼니
112,20113743,124,황정민,엄정화,정성화,오나라,박정민,박사랑,12세이상관람가,(주)제이케이필름,씨제이이앤엠(주)
113,20070382,124,문소리,김정은,엄태웅,김지영,조은지,이미도,전체관람가,(주)엠케이픽처스 ,(주)싸이더스
114,20165748,117,현빈,유지태,배성우,박성웅,나나,안세하,15세이상관람가,(주)영화사두둥,(주)쇼박스
115,20148973,130,앤디 서키스,게리 올드만,제이슨 클락, , , ,12세이상관람가, ,이십세기폭스코리아(주)
116,20134804,147,최승현,신세경,곽도원,유해진,김윤석,이하늬,청소년관람불가,(주)싸이더스,롯데쇼핑㈜롯데엔터테인먼트
117,20151803,95,잭 블랙,안젤리나 졸리,더스틴 호프만,성룡,세스 로건,루시 리우,전체관람가,드림웍스 애니메이션,씨제이이앤엠(주)
118,20147790,136,크리스 에반스,스칼렛 요한슨,사무엘 L. 잭슨,로버트 레드포드, , ,15세이상관람가, ,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
